Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Status
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,[commercial van wraps carlisle],Exact,3.50,Enabled
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,"commercial van wraps carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,[commercial vehicle wraps carlisle],Exact,3.50,Enabled
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,"commercial vehicle wraps carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,[van wraps carlisle],Exact,3.50,Enabled
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,"van wraps carlisle",Phrase,2.50,Enabled
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,[commercial van wraps cumbria],Exact,3.20,Enabled
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,"commercial van wraps cumbria",Phrase,2.50,Enabled
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,"commercial vehicle wrapping cumbria",Phrase,2.60,Enabled
StudioGraphic - Commercial Vehicle Wraps,Commercial Van Wraps,"printed van wrap carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Vehicle Wraps,Fleet Graphics & Branding,[fleet graphics carlisle],Exact,3.80,Enabled
StudioGraphic - Commercial Vehicle Wraps,Fleet Graphics & Branding,"fleet graphics carlisle",Phrase,3.00,Enabled
StudioGraphic - Commercial Vehicle Wraps,Fleet Graphics & Branding,[fleet vehicle wraps cumbria],Exact,3.80,Enabled
StudioGraphic - Commercial Vehicle Wraps,Fleet Graphics & Branding,"fleet vehicle wraps cumbria",Phrase,3.00,Enabled
StudioGraphic - Commercial Vehicle Wraps,Fleet Graphics & Branding,"commercial fleet graphics cumbria",Phrase,3.00,Enabled
StudioGraphic - Commercial Vehicle Wraps,Fleet Graphics & Branding,"fleet branding carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Vehicle Wraps,Fleet Graphics & Branding,"van fleet wraps",Phrase,2.80,Enabled
StudioGraphic - Commercial Vehicle Wraps,Truck & Commercial Wraps,[truck graphics carlisle],Exact,3.50,Enabled
StudioGraphic - Commercial Vehicle Wraps,Truck & Commercial Wraps,"truck graphics carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Vehicle Wraps,Truck & Commercial Wraps,"commercial vehicle branding carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Vehicle Wraps,Truck & Commercial Wraps,"lorry graphics cumbria",Phrase,2.50,Enabled
StudioGraphic - Commercial Vehicle Wraps,Truck & Commercial Wraps,"pickup truck wrap carlisle",Phrase,2.60,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Van Signwriting,[van sign writing carlisle],Exact,3.20,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Van Signwriting,"van sign writing carlisle",Phrase,2.50,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Van Signwriting,[van signwriting carlisle],Exact,3.20,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Van Signwriting,"van signwriting carlisle",Phrase,2.50,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Van Signwriting,[van sign writing cumbria],Exact,3.00,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Van Signwriting,"van sign writing cumbria",Phrase,2.20,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Van Signwriting,[van graphics carlisle],Exact,3.00,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Van Signwriting,"van graphics carlisle",Phrase,2.20,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Van Signwriting,"commercial sign writing carlisle",Phrase,2.60,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Trade Van Decals & Lettering,[van lettering carlisle],Exact,3.00,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Trade Van Decals & Lettering,"van lettering carlisle",Phrase,2.20,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Trade Van Decals & Lettering,[van decals carlisle],Exact,3.00,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Trade Van Decals & Lettering,"van decals carlisle",Phrase,2.20,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Trade Van Decals & Lettering,"trade van sign writing",Phrase,2.50,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Trade Van Decals & Lettering,"builder van signwriting cumbria",Phrase,2.40,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Trade Van Decals & Lettering,"cut vinyl van graphics carlisle",Phrase,2.40,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Vehicle Signwriting Cumbria,[sign writing cumbria],Exact,2.80,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Vehicle Signwriting Cumbria,"sign writing cumbria",Phrase,2.00,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Vehicle Signwriting Cumbria,"van signs carlisle",Phrase,2.20,Enabled
StudioGraphic - Van Signwriting & Trade Decals,Vehicle Signwriting Cumbria,"local sign writer carlisle",Phrase,2.40,Enabled
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,[fascia signs carlisle],Exact,3.80,Enabled
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,"fascia signs carlisle",Phrase,3.00,Enabled
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,[shop front signs carlisle],Exact,3.80,Enabled
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,"shop front signs carlisle",Phrase,3.00,Enabled
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,[shopfront signage carlisle],Exact,3.80,Enabled
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,"shopfront signage carlisle",Phrase,3.00,Enabled
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,"commercial fascia signs cumbria",Phrase,3.20,Enabled
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,"retail shop signs carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,[commercial sign makers carlisle],Exact,3.60,Enabled
