Campaign,Ad group,Keyword,Match type,Max CPC,Status
StudioGraphic - Commercial Signage,Sign Trays,[sign trays Carlisle],Exact,3.50,Enabled
StudioGraphic - Commercial Signage,Sign Trays,"sign trays Carlisle",Phrase,2.50,Enabled
StudioGraphic - Commercial Signage,Sign Trays,[illuminated sign trays Carlisle],Exact,4.00,Enabled
StudioGraphic - Commercial Signage,Sign Trays,"illuminated sign trays Carlisle",Phrase,3.00,Enabled
StudioGraphic - Commercial Signage,Sign Trays,[shopfront signage Carlisle],Exact,3.50,Enabled
StudioGraphic - Commercial Signage,Sign Trays,"shopfront signage Carlisle",Phrase,2.50,Enabled
StudioGraphic - Commercial Signage,Sign Trays,commercial sign makers Cumbria,Phrase,3.00,Enabled
StudioGraphic - Commercial Signage,Sign Trays,shop signs near me,Phrase,3.00,Enabled
StudioGraphic - Commercial Signage,Acrylic & Laser Cut,[acrylic laser cut signs],Exact,3.50,Enabled
StudioGraphic - Commercial Signage,Acrylic & Laser Cut,"acrylic laser cut signs",Phrase,2.50,Enabled
StudioGraphic - Commercial Signage,Acrylic & Laser Cut,[3D raised letters Carlisle],Exact,3.50,Enabled
StudioGraphic - Commercial Signage,Acrylic & Laser Cut,"3D raised letters Carlisle",Phrase,2.50,Enabled
StudioGraphic - Commercial Signage,Acrylic & Laser Cut,laser cut acrylic signs Cumbria,Phrase,2.80,Enabled
StudioGraphic - Commercial Signage,Acrylic & Laser Cut,acrylic sign makers Carlisle,Phrase,2.80,Enabled
StudioGraphic - Commercial Signage,Acrylic & Laser Cut,built up letters sign Carlisle,Phrase,3.00,Enabled
StudioGraphic - Commercial Signage,Print & Board Products,Foamex & Correx,[foamex printing Carlisle],Exact,2.50,Enabled
StudioGraphic - Commercial Signage,Print & Board Products,Foamex & Correx,"foamex printing Carlisle",Phrase,1.80,Enabled
StudioGraphic - Commercial Signage,Print & Board Products,Foamex & Correx,[correx board printing],Exact,2.20,Enabled
StudioGraphic - Commercial Signage,Print & Board Products,Foamex & Correx,"correx board printing Carlisle",Phrase,1.80,Enabled
StudioGraphic - Commercial Signage,Print & Board Products,Foamex & Correx,estate agent boards Carlisle,Phrase,2.00,Enabled
StudioGraphic - Commercial Signage,Print & Board Products,Foamex & Correx,printed dibond panels Cumbria,Phrase,2.50,Enabled
StudioGraphic - Commercial Signage,Print & Board Products,Foamex & Correx,advertising boards Carlisle,Phrase,2.00,Enabled
StudioGraphic - Commercial Signage,Banners & Scaffold,[scaffold banners Carlisle],Exact,2.80,Enabled
StudioGraphic - Commercial Signage,Banners & Scaffold,"scaffold banners Carlisle",Phrase,2.00,Enabled
StudioGraphic - Commercial Signage,Banners & Scaffold,[pull up banners Carlisle],Exact,2.50,Enabled
StudioGraphic - Commercial Signage,Banners & Scaffold,"pull up banners Carlisle",Phrase,1.80,Enabled
StudioGraphic - Commercial Signage,Banners & Scaffold,pvc banners Carlisle,Phrase,2.00,Enabled
StudioGraphic - Commercial Signage,Banners & Scaffold,outdoor banners Cumbria,Phrase,2.00,Enabled
StudioGraphic - Commercial Signage,Window Graphics & Solar,window graphics Carlisle,Phrase,2.50,Enabled
StudioGraphic - Commercial Signage,Window Graphics & Solar,[frosted window film Carlisle],Exact,3.00,Enabled
StudioGraphic - Commercial Signage,Window Graphics & Solar,"frosted window film Carlisle",Phrase,2.20,Enabled
StudioGraphic - Commercial Signage,Window Graphics & Solar,office window branding Cumbria,Phrase,2.50,Enabled
StudioGraphic - Commercial Signage,Window Graphics & Solar,solar window film Carlisle,Phrase,2.50,Enabled
